customer_id,avg_bandwidth_dsl,avg_bandwidth_fiber_optic
A04204,1080.597617,NULL
A05946,NULL,5104.889837
A166320,NULL,6173.702221
A223123,NULL,4140.83823
A224472,NULL,NULL
A22477,NULL,601.2192303
A230205,NULL,1031.509395
A235822,NULL,5203.543626
A236354,1717.407155,NULL
A241767,NULL,3726.308369
A25662,NULL,NULL
A29486,1967.928007,NULL
A295468,NULL,NULL
A304266,NULL,NULL
A313674,NULL,NULL
A349493,NULL,NULL
A357886,NULL,1096.780158
A403906,NULL,NULL
A457009,NULL,5361.231393
A471876,NULL,937.5863866
A50168,NULL,NULL
A504244,6066.504159,NULL
A505732,NULL,NULL
A505760,NULL,NULL
A508226,5725.421883,NULL
A513224,NULL,4889.524005
A516936,NULL,NULL
A51913,NULL,NULL
A53575,NULL,NULL
A546615,NULL,NULL
A551693,6532.644086,NULL
A572964,5856.252247,NULL
A579005,1215.356987,NULL
A581416,5867.267664,NULL
A595003,NULL,1133.808688
A595310,NULL,4889.562199
A606860,1771.286466,NULL
A613334,1768.55004,NULL
A615311,6183.792283,NULL
A615789,NULL,6451.646223
A687427,NULL,NULL
A70661,5991.256643,NULL
A712256,800.1531959,NULL
A727077,891.754556,NULL
A727653,NULL,NULL
A740543,NULL,631.7435653
A745374,NULL,NULL
A748930,6104.271738,NULL
A764334,NULL,5691.599692
A764510,2472.105638,NULL
A765364,6420.370535,NULL
A771900,NULL,4517.455286
A776577,4472.040669,NULL
A78645,NULL,NULL
A833360,6282.538237,NULL
A854142,5936.572086,NULL
A863691,NULL,450.2597019
A873218,1236.530575,NULL
A874816,NULL,4443.076355
A879207,NULL,1476.963855
A903151,NULL,NULL
A940663,NULL,NULL
A940721,NULL,NULL
A944069,1742.049983,NULL
A978012,NULL,NULL
A97903,NULL,5978.883731
A995509,944.8425929,NULL
B105213,1119.209524,NULL
B110833,NULL,6190.252926
B118468,5089.022874,NULL
B133081,1177.477272,NULL
B143750,6307.09359,NULL
B154541,1610.068088,NULL
B164687,NULL,335.9239723
B18063,6197.152457,NULL
B197030,NULL,1038.379263
B198899,NULL,1428.317482
B20759,NULL,5426.315112
B209742,NULL,1386.813604
B225501,NULL,NULL
B247549,NULL,NULL
B248010,NULL,758.4775985
B250093,NULL,5514.722604
B25572,4839.25878,NULL
B274609,NULL,NULL
B276870,NULL,NULL
B290057,NULL,NULL
B29049,NULL,NULL
B317246,NULL,NULL
B327796,NULL,4271.0951
B341496,NULL,4710.662382
B360850,NULL,NULL
